|name   |alt_name  |ra         |dec        |vmag |multiple|class                                              |
|HR 8769|          |23 04 52.20|-68 49 13.1| 5.52|        |                                         STAR F4III|
|HR 7934|Sig Pav   |20 49 18.10|-68 46 35.0| 5.41|        |                                         STAR K0III|
|HR 7588|          |19 58 52.99|-68 45 43.9| 6.39|        |                                           STAR A0V|
|HR 7161|          |19 03 29.69|-68 45 19.1| 5.88|W       |                                           STAR F8V|
|HR 3712|          |09 17 17.21|-68 41 21.8| 5.39|W       |                                           STAR F4V|
|HR 3610|          |09 01 08.50|-68 41 02.0| 5.88|        |                                         STAR M1III|
|HR 4002|          |10 09 30.50|-68 40 59.9| 5.81|W       |                                          STAR A0IV|
|HR 5671|Gam TrA   |15 18 54.60|-68 40 45.8| 2.89|        |                                           STAR A1V|
|HR 705 |Del Hyi   |02 21 44.90|-68 39 33.8| 4.09|        |                                           STAR A3V|
|HR 4614|          |12 06 19.80|-68 39 02.9| 6.23|        |                                           STAR G3I|
|HR 1859|          |05 27 00.00|-68 37 22.1| 6.03|W       |                                          STAR F0IV|
|HR 3223|Eps Vol   |08 07 55.80|-68 37 01.9| 4.35|W       |                                          STAR B6IV|
|HR 5891|Kap TrA   |15 55 29.59|-68 36 11.2| 5.09|        |                                          STAR G5II|
|HR 7383|          |19 31 10.90|-68 26 02.0| 5.96|        |                                         STAR K4III|
|HR 7221|          |19 09 52.70|-68 25 28.9| 5.33|        |                                         STAR G8III|
|HR 9007|          |23 47 23.30|-68 23 39.1| 6.89|        |                                           STAR F2V|
|HR 7320|          |19 24 05.40|-68 22 16.0| 6.34|        |                                         STAR K2III|
|HR 4604|          |12 04 38.71|-68 19 45.1| 5.35|        |                                          STAR A0IV|
|HR 5713|          |15 26 14.69|-68 18 33.1| 5.89|W       |                                         STAR G8III|
|HR 4704|Zet1Mus   |12 22 11.90|-68 18 27.0| 5.74|        |                                         STAR K0III|
|HR 6172|Eta1TrA   |16 41 23.30|-68 17 46.0| 5.91|        |                                          STAR B7IV|
|HR 806 |Eps Hyi   |02 39 35.40|-68 16 00.8| 4.11|        |                                           STAR B9V|
|HR 6808|          |18 18 00.91|-68 13 45.1| 6.33|W       |                                           STAR B9V|
|HR 3491|          |08 43 54.31|-68 12 42.1| 6.32|        |                                         STAR K3III|
|HR 8019|          |21 01 28.10|-68 12 34.9| 6.37|        |                                           STAR A2V|
|HR 5379|          |14 25 06.29|-68 11 43.1| 5.61|        |                                           STAR A3I|
|HR 4844|Bet Mus   |12 46 16.90|-68 06 29.2| 3.05|W       |                                           STAR B2V|
|HR 4671|Eps Mus   |12 17 34.10|-67 57 38.9| 4.11|        |                                         STAR M5III|
|HR 2803|Del Vol   |07 16 49.80|-67 57 25.9| 3.98|        |                                          STAR F6II|
|HR 6037|          |16 17 05.50|-67 56 29.0| 5.75|        |                                           STAR A4V|
|HR 5443|          |14 37 46.30|-67 55 55.9| 6.04|        |                                           STAR F7V|
|HR 2662|          |06 59 50.50|-67 54 58.0| 5.17|        |                                         STAR K3III|
|HR 4993|Eta Mus   |13 15 14.90|-67 53 39.8| 4.80|W       |                                           STAR B8V|
|HR 667 |Pi 1Hyi   |02 14 14.69|-67 50 30.1| 5.55|        |                                         STAR M1III|
|HR 4379|          |11 17 19.01|-67 49 25.0| 6.06|W       |                                         STAR M2III|
|HR 6417|Zet Aps   |17 21 59.40|-67 46 14.2| 4.78|        |                                         STAR K2III|
|HR 678 |Pi 2Hyi   |02 15 28.51|-67 44 47.0| 5.69|        |                                         STAR K2III|
|HR 5408|          |14 31 16.51|-67 43 01.9| 5.83|W       |                                         STAR K1III|
|HR 6231|          |16 52 17.40|-67 40 54.8| 6.32|        |                                         STAR K2III|
|HR 5218|          |13 54 48.91|-67 39 09.0| 5.71|        |                                         STAR K2III|
|HR 570 |Eta2Hyi   |01 54 56.09|-67 38 49.9| 4.69|        |                                         STAR G8III|
|HR 4710|          |12 23 13.80|-67 37 54.1| 6.36|        |                                          STAR G8IV|
|HR 4485|          |11 37 48.41|-67 37 13.1| 5.96|        |                                         STAR K0III|
|HR 837 |Zet Hyi   |02 45 32.59|-67 37 00.1| 4.84|        |                                          STAR A2IV|
|HR 4703|Zet2Mus   |12 22 07.30|-67 31 18.8| 5.15|W       |                                           STAR A5V|
|HR 8547|          |22 28 37.70|-67 29 21.1| 5.55|        |                                           STAR A4V|
|HR 5684|          |15 20 40.70|-67 28 53.0| 6.28|W       |                                           STAR B3V|
|HR 8855|          |23 18 19.99|-67 28 16.0| 6.13|        |                                         STAR K2III|
|HR 6182|          |16 43 22.10|-67 25 57.0| 6.03|        |                                           STAR A0V|
|HR 7644|          |20 05 32.81|-67 19 14.9| 6.07|        |                                           STAR G3V|
|HR 7107|Kap Pav   |18 56 57.00|-67 14 01.0| 4.44|        |                                           STAR F5I|
|HR 6368|          |17 13 17.50|-67 11 48.1| 5.89|W       |                                         STAR K0III|
|HR 4806|          |12 38 52.51|-67 11 35.2| 6.25|W       |                                           STAR B1I|
|HR 1744|The Dor   |05 13 45.41|-67 11 07.1| 4.83|        |                                         STAR K2III|
|HR 6204|          |16 46 40.01|-67 06 34.9| 5.13|W       |                                            STAR A0|
|HR 5621|          |15 09 29.90|-67 05 03.1| 5.76|        |                                          STAR F6II|
|HR 3713|          |09 17 51.70|-67 03 02.9| 6.11|        |                                         STAR K2III|
|HR 4129|          |10 30 08.71|-66 59 06.0| 6.19|        |                                          STAR B4IV|
|HR 4448|          |11 32 19.90|-66 57 43.9| 5.90|        |                                         STAR K1III|
|HR 7603|Mu 1Pav   |20 00 22.99|-66 56 57.8| 5.76|        |                                         STAR K0III|
|HR 7612|Mu 2Pav   |20 01 52.39|-66 56 39.1| 5.31|        |                                          STAR K2IV|
|HR 1014|          |03 17 58.99|-66 55 36.8| 6.05|        |                                           STAR A3V|
|HR 4089|          |10 22 58.10|-66 54 06.1| 4.99|        |                                           STAR B8V|
|HR 2064|Eps Dor   |05 49 53.59|-66 54 04.0| 5.11|        |                                           STAR B6V|
|HR 8809|          |23 10 11.69|-66 51 27.0| 6.47|        |                                         STAR K0III|
|HR 4530|Mu  Mus   |11 48 14.30|-66 48 52.9| 4.72|        |                                         STAR K4III|
|HR 7513|          |19 49 53.30|-66 48 46.1| 6.45|        |                                         STAR K4III|
|HR 3537|          |08 50 34.80|-66 47 35.2| 5.35|W       |                                          STAR F5IV|
|HR 5002|          |13 17 13.01|-66 47 01.0| 4.87|        |                                           STAR K2I|
|HR 7881|Ups Pav   |20 41 57.10|-66 45 38.9| 5.15|        |                                         STAR B9III|
|HR 4520|Lam Mus   |11 45 36.41|-66 43 43.0| 3.64|W       |                                         STAR A7III|
|HR 3813|          |09 31 32.90|-66 43 09.8| 6.27|        |                                         STAR K1III|
|HR 823 |          |02 43 26.59|-66 42 51.8| 6.26|W       |                                           STAR F5V|
|HR 3783|          |09 28 30.60|-66 42 06.8| 5.91|        |                                           STAR A0V|
|HR 7435|          |19 39 52.10|-66 41 08.2| 6.39|W       |                                           STAR A1V|
|HR 1598|          |04 53 30.50|-66 40 32.2| 6.41|        |                                         STAR M0III|
|HR 7278|          |19 17 12.00|-66 39 41.0| 5.53|W       |                                           STAR A5V|
|HR 7130|          |19 00 03.50|-66 39 11.9| 6.01|        |                                         STAR K0III|
|HR 5500|          |14 48 44.40|-66 35 38.0| 5.91|W       |                                           STAR B2V|
|HR 5320|          |14 16 38.59|-66 35 16.1| 5.75|W       |                                         STAR B1III|
|HR 8908|          |23 27 07.20|-66 34 52.0| 6.45|        |                                         STAR K4III|
|HR 1960|          |05 36 54.70|-66 33 37.1| 6.31|        |                                           STAR B9V|
|HR 4814|          |12 39 55.61|-66 30 42.1| 6.26|        |                                           STAR B8V|
|HR 722 |          |02 25 26.30|-66 29 40.9| 6.41|        |                                         STAR M5III|
|HR 1092|          |03 30 51.60|-66 29 22.9| 5.83|        |                                           STAR B8V|
|HR 380 |          |01 17 03.60|-66 23 53.2| 6.24|W       |                                           STAR A0V|
|HR 3615|Alp Vol   |09 02 26.81|-66 23 46.0| 4.00|        |                                          STAR A2IV|
|HR 4025|          |10 13 30.60|-66 22 23.2| 5.16|        |                                            STAR A0|
|HR 7663|          |20 08 20.50|-66 21 16.9| 6.45|        |                                         STAR K5III|
|HR 5771|Eps TrA   |15 36 43.20|-66 19 00.8| 4.11|W       |                                         STAR K1III|
|HR 5253|          |14 00 52.20|-66 16 07.0| 5.97|W       |                                         STAR F2III|
|HR 4977|          |13 12 48.91|-66 13 36.8| 5.90|        |                                           STAR A0V|
|HR 7913|Bet Pav   |20 44 57.50|-66 12 11.2| 3.42|        |                                         STAR A7III|
|HR 3081|          |07 49 40.99|-66 11 44.9| 5.79|        |                                           STAR B9V|
|HR 7665|Del Pav   |20 08 43.61|-66 10 54.8| 3.56|        |                                          STAR G6IV|
|HR 5382|          |14 25 39.50|-66 10 23.9| 6.36|        |                                           STAR A3V|
|HR 3347|Bet Vol   |08 25 44.21|-66 08 12.8| 3.77|        |                                         STAR K1III|
|HR 3036|          |07 44 43.90|-66 04 18.8| 6.38|        |                                         STAR G6III|
|HR 600 |          |01 59 41.09|-66 03 59.0| 6.10|        |                                         STAR K1III|
|HR 2194|Eta1Dor   |06 06 09.41|-66 02 22.9| 5.71|        |                                           STAR A0V|
|HR 5539|Zet Cir   |14 54 42.41|-65 59 29.0| 6.09|        |                                           STAR B3V|
|HR 7455|          |19 41 37.49|-65 51 15.1| 6.09|        |                                         STAR M0III|
|HR 4692|          |12 20 28.01|-65 50 34.1| 6.21|        |                                           STAR B9V|
|HR 3495|          |08 44 30.00|-65 49 32.2| 6.05|        |                                           STAR A4V|
